Song,Duration,Familiarity,Loudness,Tempo
Jump They Say,,,,
Miss You Like Crazy,,,,
Look What You Done for Me,,,,
Seasons Change,,,,
Vamos a la playa,,,,
Gotham City,,,,
A Taste of Honey,,,,
If You Go,,,,
When The Swallows Come Back to Capistrano,,,,
Celebrity Skin,,,,
A Day in the Life,,,,
Breakout,,,,
(Keep Feeling) Fascination,,,,
Atlantis Is Calling (S.O.S. For Love),,,,
Good Girls Go Bad,,,,
Giving You the Benefit,,,,
Sideshow,,,,
Wolverton Mountain,,,,
Boom Boom,,,,
Some Might Say,,,,
Nothing From Nothing,,,,
Short People,,,,
Jeanny Part I,,,,
Losing Grip,,,,
Two Out of Three Ain't Bad,,,,
Mademoiselle Ninette,,,,
Me gustas tu,,,,
Hi Hi Hi,,,,
High Energy,,,,
Coz I Luv You,,,,
Wild World,,,,
Please,,,,
Cottonfields,,,,
Remember (Walkin' in the Sand),,,,
Rainy Day Woman Nos 12 & 35,,,,
Rollin',,,,
Impossible,,,,
How 'bout Us,,,,
Down Yonder,,,,
Take it Easy,,,,
Rock That Body,,,,
Shackles (Praise You),,,,
We Belong,,,,
"I Want You, I Need You, I Love You",,,,
Walkin' My Baby Back Home,,,,
Going Back to My Roots,,,,
Jet Airliner,,,,
Hey Joe,250.3,55.579,10.6,85.5
"Oh, What a Beautiful Mornin'",,,,
I Wanna Be Rich,,,,
If We Ever Meet Again,,,,
It's All Over Now,,,,
Twenty Five Miles,,,,
It's All Been Done,,,,
Long As I Can See the Light,,,,
Golden Earrings,,,,
Hole in the Head,,,,
We're All Alone,,,,
I'm Easy,,,,
Holler,,,,
Take It Off,,,,
Good Golly Miss Molly,,,,
Cross Road Blues,,,,
Brimful of Asha,,,,
Three Steps to Heaven,,,,
Ruby Baby,,,,
I Hear a Symphony,,,,
"Answer Me, My Love",,,,
Black Water,,,,
Sad Sweet Dreamer,,,,
Love is a Stranger,,,,
Love is Like Oxygen,,,,
Mannish Boy,,,,
Fire Burning,,,,
Let Me Love You (Until You Learn To Love Yourself),,,,
Spanish Eyes,,,,
You,172.3,46.971,6.5,124.0
Stupid Cupid,,,,
Little Town Flirt,,,,
I Get So Lonely (When I Dream About You),,,,
Personal Jesus,,,,
Learn to Fly,,,,
Anywhere Is,,,,
Du,,,,
It Was a Good Day,,,,
Isle of Capri,,,,
If You Tolerate This Your Children Will Be Next,,,,
My Cherie Amour,,,,
Misery Business,,,,
I Apologize,,,,
La La La (Means I Love You),,,,
Bad Case of Loving You,,,,
Red Rubber Ball,,,,
Let Your Soul Be Your Pilot,,,,
I Don't See Me In Your Eyes Anymore,,,,
Elegantly Wasted,,,,
"When the Red, Red Robin Comes Bob-Bob-Bobbin' Along",,,,
Do it to Me,,,,
Theme from 'SWAT',,,,
Who's Crying Now,,,,
Lonely This Christmas,,,,
Addam's Groove,,,,
Belfast Child,,,,
You Really Got a Hold on Me,,,,
Albatross,,,,
Queen of My Heart,,,,
Purple People Eater,,,,
Right in the Night (Fall in Love With Music),,,,
Mama Loo,,,,
Friendly Persuasion,,,,
"Please, Mister Sun",,,,
Body Language,,,,
Here You Come Again,,,,
A Hazy Shade of Winter,,,,
Round Round,,,,
Diamonds From Sierra Leone,247.6,87.721,5.6,81.5
Lily Was Here,,,,
Mas Que Nada,267.2,64.91,6.1,101.1
Tell Him,142.2,54.665,8.8,89.3
Bristol Stomp,,,,
No More Drama,,,,
Chains,,,,
Angie Baby,,,,
Welcome Back,,,,
A Dream's a Dream,,,,
Wiggle It,,,,
Against the Wind,,,,
Doop,,,,
First of May,,,,
Young Folks,,,,
She,,,,
Jerk it Out,,,,
Living in a Box,,,,
Slow Twistin',,,,
How Sweet it is (to be Loved by You),,,,
Only Yesterday,,,,
"Any Time, Any Place",,,,
2 Times,,,,
Mockingbird Hill,,,,
Take it On the Run,,,,
Wonderful Wonderful,,,,
I'm Alive,,,,
Welcome to My Life,,,,
Oye Como Va,,,,
I Remember Elvis Presley (The King is Dead),,,,
Tipsy,,,,
April In Portugal (The Whisp'ring Serenade),,,,
Evil Woman,545.7,55.926,9.5,142.6
U Got 2 Let the Music,,,,
I Wanna Be Loved,,,,
Lowdown,,,,
I'm So Into You,,,,
All I Need is a Miracle,,,,
I Don't Know Anybody Else,,,,
Flap Your Wings,,,,
It Looks Like Rain in Cherry Blossom Lane,,,,
Love & Pride,,,,
Shake it Up,,,,
Am I Wrong,,,,
Special Lady,,,,
Zip-A-Dee-Doo-Dah,,,,
Make it Happen,,,,
The Last Kiss,,,,
Knock You Down,,,,
It's No Good,,,,
When Love & Hate Collide,,,,
Someone to Watch Over Me,151.8,44.626,21.0,0.0
I Wanna Be the Only One,,,,
Roundabout,,,,
Heart of Stone,,,,
Got To Be Real,,,,
Midnight At the Oasis,,,,
Karma Police,,,,
Do You Know (The Ping Pong Song),,,,
Let's Think About Living,,,,
Feel So Close,,,,
I Saw Her Again,,,,
Most Girls,,,,
She Believes (In Me),,,,
If Only,,,,
It's So Easy,,,,
I've Got A Lovely Bunch of Coconuts,,,,
Inconsolable,,,,
Do You Know (What It Takes),,,,
Tell Me What You Want Me To Do,,,,
Infinity 2008,,,,
I Don't Like To Sleep Alone,,,,
A Town Called Malice,,,,
The Fear,,,,
Calypso,,,,
Forever Love,,,,
September in the Rain,,,,
Ain't Too Proud to Beg,,,,
Bicycle Race,,,,
Tweedle Dee,,,,
I'll Be Waiting,,,,
Dream,,,,
It's Just a Matter of Time,,,,
Mr Bojangles,,,,
Out of Nowhere,,,,
Paranoid Android,,,,
Don't Talk to Him,,,,
Freddie's Dead (Theme from 'Superfly'),,,,
The First Cut is the Deepest,,,,
Hearts,,,,
Lost In Emotion,,,,
Yes My Darling Daughter,,,,
Are You Ready?,,,,
Love Don't Live Here Anymore,,,,
Brilliant Disguise,,,,
Inside Your Heaven,,,,
Twilight Zone,,,,
Baby Don't Go,,,,
Since I Don't Have You,,,,
Ai se eu te pego!,,,,
I Love Music,,,,
Abacab,,,,
What If...,,,,
This I Promise You,,,,
Senorita,,,,
Old Pop in an Oak,,,,
Whenever I Call You 'friend',,,,
Candy Girl,,,,
Stand & Deliver,,,,
Where Does My Heart Beat Now,,,,
Silhouettes,,,,
You Make Me Feel (Mighty Real),,,,
Can't Hold Us,,,,
Hit That Perfect Beat,,,,
Tina Marie,,,,
What a Difference a Day Makes,,,,
The Only Exception,,,,
Eight Miles High,,,,
Nevertheless (I'm in Love With You),,,,
Boom Bang-A-Bang,,,,
Walking On Broken Glass,,,,
Margie,,,,
Russian Roulette,,,,
You Can't Sit Down,,,,
Stein Song (University of Maine),,,,
Stop Draggin' My Heart Around,,,,
Dreaming,182.1,61.651,6.9,184.0
Song of the Volga Boatmen,,,,
Sway,,,,
My Melody Of Love,210.2,55.576,12.3,172.5
My Sister & I,,,,
La Derniere Valse,,,,
So Rare,,,,
If You Can't Give Me Love,,,,
Devil With the Blue Dress,,,,
One Step Beyond,,,,
Beyond the Invisible,,,,
Rainy Days & Mondays,,,,
The 'in' Crowd,,,,
Samba De Janeiro,,,,
(Call Me) Number One,,,,
How Long?,,,,
L'oiseau Et L'enfant,,,,
In Too Deep,,,,
Too Many Broken Hearts,,,,
Children of the Revolution,,,,
Lay Your Love on Me,,,,
High Enough,,,,
Tic Tic Tac (Dance To Boi Bumba!),,,,
How Can We Be Lovers,,,,
Wake Up Call,,,,
Running With the Night,,,,
I Was Born to Love You,,,,
Don't Wake Me Up,,,,
I Wanna Be a Hippy,,,,
Love is Strong,,,,
'74-'75,,,,
Stars,,,,
Jolene,,,,
The Best Disco in Town,,,,
He's the Greatest Dancer,,,,
Skokiaan,,,,
Double Barrel,,,,
Cool Water,201.7,49.988,14.2,111.4
Alane,,,,
I Promised Myself,,,,
Shotgun,,,,
Hooked On Classics,,,,
A Love Bizarre,,,,
South Street,,,,
Frontin',,,,
Drop the Boy,,,,
It's Only Rock 'n' Roll (But I Like It),,,,
Mad About You,,,,
Hello Muddah Hello Faddah,,,,
Tears Don't Lie,,,,
Cartoon Heroes,,,,
True Faith,,,,
Little White Lies,,,,
The Dipsy Doodle,,,,
Don't Stop Believin',,,,
Samson & Delilah,,,,
Sad Songs (Say So Much),,,,
Reason to Believe,,,,
Hop Scotch Polka,,,,
Be With You,260.2,88.946,6.3,149.9
You Belong To The City,,,,
The Birth of the Blues,,,,
My Heart Has a Mind of It's Own,,,,
Walk Away Renee,,,,
If Not For You,,,,
Jesamine,,,,
Beg Steal Or Borrow,,,,
French Kiss,,,,
Manteca,350.3,57.723,15.8,221.8
Is You Is or Is You Ain't (Ma' Baby),,,,
Doctor! Doctor!,,,,
My Name is Prince,,,,
In Zaire,,,,
Yo-yo,,,,
Can't Smile Without You,,,,
Walk Away,177.2,72.081,1.8,106.7
In Your Room,,,,
Midnight in Chelsea,,,,
She's a Woman,,,,
Island in the Sun,,,,
Let's All Chant,,,,
Thunderstruck,,,,
After the Lovin',,,,
You're the One,,,,
Perfect World,,,,
No Such Thing,,,,
Leave Me Alone,,,,
The High & The Mighty,,,,
Hungry Eyes,,,,
Be Faithful,,,,
Ode to My Family,,,,
Piano in the Dark,,,,
The Lonely Bull (El Solo Torro),,,,
Mishale,,,,
Time is Tight,,,,
You Can Call Me Al,,,,
Doctorin' the Tardis,,,,
Burning Down the House,,,,
Far From Over,,,,
Stranger in Moscow,,,,
All Right,,,,
Secret Garden,,,,
Girls & Boys,,,,
Fake Plastic Trees,,,,
Driver's Seat,,,,
Mule Skinner Blues,,,,
Jackson,,,,
Sympathy,205.6,42.563,16.1,98.0
"Sitting, Waiting, Wishing",,,,
Barrel of a Gun,,,,
I Want it All,,,,
Whisky in the Jar,,,,
Oh Boy,,,,
Calling Elvis,,,,
Rebel Rouser,,,,
Strip Polka,,,,
Do You Want to Dance?,,,,
Ain't Gonna Bump No More (With No Big Fat Woman),,,,
Reach,,,,
The Zephyr Song,,,,
The Wreck of the Edmund Fitzgerald,,,,
Trade Winds,349.5,52.719,17.1,149.6
Aicha,,,,
Hoochie Coochie Man,313.8,71.685,11.5,107.2
A Kiss to Build a Dream On,,,,
Rumors,,,,
Didn't I (Blow Your Mind This Time),,,,
Twistin' the Night Away,,,,
Keep it Together,,,,
The Race,280.8,58.892,5.1,109.4
Motown Philly,,,,
Waiting On a Friend,,,,
The World's Greatest,,,,
Tower of Strength,,,,
Here & Now,,,,
Everything About You,,,,
Maybe,246.7,82.96,12.5,151.7
We've Got it Goin' On,,,,
How We Do,,,,
Magic Bus,,,,
Gotta Be Somebody,,,,
How You Gonna See Me Now,,,,
Wishing On a Star,,,,
Stand Up,,,,
Almost Here,,,,
In These Arms,,,,
You're the Top,,,,
Pinball Wizard,,,,
Mister Five By Five,,,,
Creeque Alley,,,,
Kids,,,,
I Want to Be a Cowboy's Sweetheart,,,,
Mike Oldfield's single (Theme From 'Tubular Bells'),,,,
The Little Shoemaker,,,,
High & Dry,,,,
Lotta Love,,,,
Poppa Joe,,,,
How Can I Fall,,,,
"Sally, Go 'Round the Roses",,,,
Trash,,,,
Shalala Lala,,,,
Beyond The Sea (La Mer),,,,
Some Kind of Wonderful,,,,
Die Young,,,,
What in the World's Come Over You,,,,
Leavin',,,,
Woman Woman,,,,
Who's Johnny,,,,
Keep Holding On,,,,
She's Gone,,,,
Confide in Me,,,,
Super Bass,,,,
Hit Me With Your Rhythm Stick,,,,
If I Was,,,,
Here in your Arms,,,,
Valencia,,,,
Rebel Rebel,,,,
Your Body Is a Wonderland,,,,
Get Ready For This,,,,
Hold Me,193.7,46.902,5.5,135.0
Gin & Juice,,,,
I Don't Wanna Cry,,,,
Back Off Boogaloo,,,,
(Everytime I Turn Around) Back In Love Again,,,,
Rockin' All Over the World,,,,
Smokestack Lightning,,,,
On a Carousel,,,,
Stand Up For Your Love Rights,,,,
Java,,,,
Don't Stop (Wiggle Wiggle),,,,
Tip Toe Thru' The Tulips With Me,,,,
One More Chance,166.3,82.778,6.8,127.2
Juliet,144.1,41.852,9.4,101.3
White Wedding,,,,
Sexy Can I,,,,
I Wonder Why,,,,
Partyman,,,,
No No Song,,,,
Rock 'n' Roll Is Dead,,,,
Red Sails in the Sunset,,,,
1985,,,,
Hernando's Hideaway,,,,
Black & Yellow,,,,
Too Late To Turn Back Now,,,,
I'm Coming Out,,,,
Johnny Remember Me,,,,
The Petite Waltz (La Petite Valse),,,,
With These Hands,,,,
Everywhere,,,,
Sara Smile,,,,
Goodbye Cruel World,,,,
Jealous of you (Tango della gelosia),,,,
Ex-Factor,,,,
Rubber Bullets,,,,
Everything You Want,,,,
I Hope You Dance,,,,
The Day Before You Came,,,,
So Yesterday,,,,
Setting Sun,,,,
Do You Want to Know a Secret?,,,,
Rescue Me,165.7,55.892,9.2,124.4
Hit Me Off,,,,
Who is It,,,,
The Day the Rains Came,,,,
Crying At the Discoteque,,,,
Sweet Love,310.2,59.711,12.7,42.8
Break it Down Again,,,,
Heart Full of Soul,,,,
Indian Giver,,,,
Falling,,,,
We'll Be Together,,,,
San Franciscan Nights,,,,
Outside,286.3,93.494,8.2,109.3
Dedicated Follower of Fashion,,,,
Two Wrongs,,,,
I Can't Get Started,,,,
Nobody Told Me,,,,
Shake Your Love,,,,
(You Want To) make A Memory,,,,
It's Your Thing,,,,
Honeysuckle Rose,,,,
Macho Man,,,,
Taking Chances,,,,
Doesn't Somebody Want To Be Wanted,,,,
Rip it Up,,,,
Love Letters,,,,
Anna (The Baion),,,,
The Middle,,,,
Get Low,,,,
Just a Little,,,,
There's No Tomorrow,,,,
You Wear it Well,,,,
I Do,,,,
Love Today,,,,
Just You 'n' Me,,,,
Dressed For Success,,,,
Piece of My Heart,,,,
Tearin' Up My Heart,,,,
Only Women Bleed,,,,
Empty Garden (Hey Hey Johnny),,,,
Fools Rush In (Where Angels Fear To Tread),,,,
Way Down Yonder in New Orleans,,,,
I Fought the Law,,,,
I Don't Want to Walk Without You,,,,
Fallin' in Love,,,,
Knock Knock Who's There?,,,,
Smokin' in the Boys' Room,,,,
Got to Get It,,,,
Bo Diddley,463.5,40.737,9.5,81.1
Silent Lucidity,,,,
Live Forever,,,,
Pennsylvania 6-5000,,,,
Still Got the Blues (For You),,,,
Over You,,,,
What Does it Take (To Win Your Love),,,,
Cover Me,,,,
Going to a Go-Go,,,,
Sea Cruise,,,,
Eternity,,,,
Why Can't We Be Friends?,,,,
Vienna Calling,,,,
Beverly Hills,,,,
The Land of Make Believe,,,,
Thinking of You,,,,
Everybody Plays the Fool,,,,
Sorry (I Ran All the Way Home),,,,
Let There Be Drums,,,,
Yo! (Excuse Me Miss),,,,
(You Make Me Feel Like) a Natural Woman,,,,
Nu Flow,,,,
Boo Hoo,295.1,79.371,7.3,137.8
My True Love,,,,
The Bomb! (These Sounds Fall Into My Mind),,,,
Did I Remember?,,,,
Still Loving You,,,,
I've Got a Pocketful of Dreams,,,,
Muskrat Love,,,,
Fool to Cry,,,,
Just a Little While,,,,
You Must Have Been a Beautiful Baby,,,,
Rudebox,,,,
Smiling Faces Sometimes,,,,
Highway to Hell,,,,
If Ya Gettin' Down,,,,
You Know My Name,,,,
Don't Break the Heart That Loves You,,,,
Reminiscing,,,,
The Living Daylights,,,,
My Baby Just Cares For Me,,,,
I'm in the Mood,,,,
Leaving New York,,,,
Brazil (Aquarela do Brasil),,,,
Somewhere Only We Know,,,,
"Top Hat, White Tie & Tails",,,,
I Get Lonely,,,,
Big Poppa,,,,
Always Look On the Bright Side of Life,,,,
Slip Slidin' Away,,,,
Kashmir,,,,
One Fine Day,129.7,59.954,8.2,88.8
"Baby, I Need Your Lovin'",,,,
The Universal,,,,
Fashion,,,,
The World is Not Enough,,,,
Solsbury Hill,,,,
Through the Wire,,,,
Tell Laura I Love Her,,,,
Catch Us If You Can,,,,
Watching the Wheels,,,,
Battlefield,,,,
It's Five O'clock,,,,
Still the Same,,,,
Scandalous,,,,
Sunshine,,,,
Sleep,,,,
Every Day Of The Week,,,,
The Moon Got in My Eyes,,,,
What I Am,,,,
Juke Box Jive,,,,
Original Sin,,,,
Manchild,,,,
Second Hand Rose,144.2,37.835,18.9,133.8
When Can I See You?,,,,
Take Me There,,,,
"Beloved, Be Faithful",,,,
Party Doll,,,,
Christmas Time (Don't Let the Bells End),,,,
When We Dance,239.2,37.973,15.6,85.0
When You Were Sweet Sixteen,,,,
I Got My Mind Made Up,,,,
Dum Dum,,,,
Don't Look Back,139.8,45.065,11.9,129.4
It's So Hard to Say Goodbye to Yesterday,,,,
Flash Light,,,,
If You Love Me (Let Me Know),,,,
Street Fighting Man,,,,
Round & Round,,,,
How We Do (Party),,,,
Lay Down Sally,,,,
When Will I Be Loved?,,,,
Run Around,,,,
When It's Over,,,,
The Chipmunk Song (Christmas Don't Be Late),,,,
Pillow Talk,,,,
The Crying Game,,,,
So Sad (To Watch Good Love Go Bad),,,,
She Wants to Move,,,,
Harder to Breathe,,,,
Ready To Take A Chance,,,,
Spiders & Snakes,,,,
Summer Love,,,,
Blurry,,,,
On & On,,,,
Who Are You?,213.1,47.526,6.0,142.9
Will 2K,,,,
The Way You do the Things You Do,,,,
El Bimbo,,,,
Come Baby Come,,,,
Moon Glow (1934),,,,
Landslide,,,,
(Hot S**t) Country Grammar,,,,
Little Green Apples,,,,
God Save the Queen,,,,
If You Think You Know How to Love Me,,,,
Love Me Tonight,,,,
Summer Girls,,,,
Somebody Stole My Gal,,,,
Waiting on the World to Change,,,,
In My Bed,275.0,83.56,3.2,192.7
Heart-Shaped Box,281.7,82.581,6.9,105.8
Wish I Could Fly,,,,
Never Let Me Down Again,,,,
Whispers in The Dark,,,,
Tell Me It's Real,,,,
Monkey Time,,,,
If It's Lovin' That You Want,,,,
All Alone,,,,
"Girls, Girls, Girls",,,,
"See Me, Feel Me",,,,
